epoch,student_loss,teacher_loss,student_ce_loss,teacher_ce_loss,student_kd_loss,teacher_kd_loss
0,16.73293810690052,0.0019495369145430396,16.73293810690052,0.0019495369145430396,,
1,3.665800231660854,,3.665800231660854,,,
2,1.9199046851806127,,1.9199046851806127,,,
3,1.495341409915392,,1.495341409915392,,,
4,1.161782906079094,,1.161782906079094,,,
5,0.9777370984174468,,0.9777370984174468,,,
6,0.8366620727765278,,0.8366620727765278,,,
7,0.7376252153002903,,0.7376252153002903,,,
8,0.6048081950525862,,0.6048081950525862,,,
9,0.5497269726436411,,0.5497269726436411,,,
10,0.4479917262228574,,0.4479917262228574,,,
11,0.389585208974812,,0.389585208974812,,,
12,0.3467048529990766,,0.3467048529990766,,,
13,0.3101609513992998,,0.3101609513992998,,,
14,0.28568276917050645,,0.28568276917050645,,,
15,0.2535064515484329,,0.2535064515484329,,,
16,0.235348535228523,,0.235348535228523,,,
17,0.21896514976760628,,0.21896514976760628,,,
18,0.20297682108578016,,0.20297682108578016,,,
19,0.1830703899477652,,0.1830703899477652,,,
20,0.17242669108099115,,0.17242669108099115,,,
21,0.16073957799608513,,0.16073957799608513,,,
22,0.15240017742917217,,0.15240017742917217,,,
23,0.14949456108668469,,0.14949456108668469,,,
24,0.14890405856566272,,0.14890405856566272,,,
25,0.13542331924026813,,0.13542331924026813,,,
26,0.13308494571481383,,0.13308494571481383,,,
27,0.12037509933539493,,0.12037509933539493,,,
28,0.12189393736820094,,0.12189393736820094,,,
29,0.11098732155573722,,0.11098732155573722,,,
30,0.10943696656596852,,0.10943696656596852,,,
31,0.10049238197352191,,0.10049238197352191,,,
32,0.10116646384658866,,0.10116646384658866,,,
33,0.09819043570368534,,0.09819043570368534,,,
34,0.09475439522932007,,0.09475439522932007,,,
35,0.08963484092694794,,0.08963484092694794,,,
36,0.07917824618235916,,0.07917824618235916,,,
37,0.08013574239754392,,0.08013574239754392,,,
38,0.0742171897844281,,0.0742171897844281,,,
39,0.06963445602831868,,0.06963445602831868,,,
40,0.06992761842323728,,0.06992761842323728,,,
41,0.06623324955055658,,0.06623324955055658,,,
42,0.06692186691174111,,0.06692186691174111,,,
43,0.06125798026374714,,0.06125798026374714,,,
44,0.06322128856273086,,0.06322128856273086,,,
45,0.06136626053459392,,0.06136626053459392,,,
