epoch,student_loss,teacher_loss,student_ce_loss,teacher_ce_loss,student_kd_loss,teacher_kd_loss
0,8.407115386223381,1.3985297985169953,8.407115386223381,1.3985297985169953,,
1,4.582262894471182,,4.582262894471182,,,
2,3.6833891580292453,,3.6833891580292453,,,
3,3.2706364644161035,,3.2706364644161035,,,
4,2.963871184862812,,2.963871184862812,,,
5,2.7436169017528163,,2.7436169017528163,,,
6,2.205015797075063,1.999783563064751,2.319168903548521,1.7945513282536087,2.205015797075063,2.205015797075063
7,1.5152934663812854,1.6690986084770256,2.3325588555192613,1.822903747598254,1.5152934663812854,1.5152934663812854
8,1.2146171768430098,1.5327160073943575,2.3565323191884993,1.850814840424465,1.2146171768430098,1.2146171768430098
9,1.0381223322562658,1.4557148101081165,2.375694403111439,1.8733072862820372,1.0381223322562658,1.0381223322562658
10,0.9349432188352559,1.4178178404968516,2.388675695798829,1.9006924576204096,0.9349432188352559,0.9349432188352559
11,0.8621951247817495,1.3763751350605404,2.366952366807563,1.8905551512883554,0.8621951247817495,0.8621951247817495
12,0.80950525488826,1.354798491574676,2.357549430312671,1.9000917271933186,0.80950525488826,0.80950525488826
13,0.7689374733337285,1.3242982109616523,2.3092764595419797,1.8796589495048108,0.7689374733337285,0.7689374733337285
14,0.7367366312103857,1.306638426988154,2.2859151891158014,1.8765402223083048,0.7367366312103857,0.7367366312103857
15,0.7082832870922711,1.290257783021518,2.259024290953091,1.872232279293978,0.7082832870922711,0.7082832870922711
