epoch,student_loss,teacher_loss,student_ce_loss,teacher_ce_loss,student_kd_loss,teacher_kd_loss
0,8.457980870742944,1.3883867452942402,8.457980870742944,1.3883867452942402,,
1,2.9855532702618657,2.400674363473098,4.023154547484502,1.8157954510785186,2.9855532702618657,2.9855532702618657
2,1.6134084895567793,1.752824883162022,3.1702892032862473,1.8922412763096472,1.6134084895567793,1.6134084895567793
3,1.224554510354538,1.578820358463685,2.947717663346386,1.9330862044372852,1.224554510354538,1.224554510354538
4,1.0523597626676944,1.5026275721865439,2.845950517529337,1.9528953803706763,1.0523597626676944,1.0523597626676944
5,0.9410312669977345,1.4496428208402998,2.753720873376916,1.9582543749116739,0.9410312669977345,0.9410312669977345
6,0.865244141924633,1.4067985211437661,2.6540830198649177,1.9483529008967864,0.865244141924633,0.865244141924633
7,0.8197366710816602,1.3813249791423556,2.5910325539241748,1.942913288194555,0.8197366710816602,0.8197366710816602
