epoch,student_loss,teacher_loss,student_ce_loss,teacher_ce_loss,student_kd_loss,teacher_kd_loss
0,8.616601781575747,1.3873084434358158,8.616601781575747,1.3873084434358158,,
1,2.3608052207958217,1.6803320859676896,3.568875556801355,1.6179705863504283,2.3608052207958217,2.241585941327807
2,1.386494437118555,1.553250103299542,2.465134911625363,1.5740511840118583,1.386494437118555,1.3660407521014988
3,1.1497025543706056,1.5171216748083154,2.179122244486419,1.5590762558891547,1.1497025543706056,1.1395308108515694
4,1.038970752436946,1.4957623409259562,2.050605129468623,1.5472818223424805,1.038970752436946,1.032087369755905
