Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-100-0,"top1: 62.34, top5: 84.45"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-100-0,"top1: 62.45, top5: 84.38"
